5266.86395  19.819   0.044
5281.87691  19.779   0.031
5288.79982  19.923   0.085
5643.83457  19.871   0.068
5651.84620  19.872   0.036
5664.82931  19.903   0.038
5670.78831  19.869   0.083
5679.76514  19.876   0.039
5683.77550  19.858   0.034
5687.80405  19.819   0.035
5692.69314  19.787   0.041
5696.67020  19.824   0.069
5707.67160  19.870   0.041
5716.64168  19.858   0.034
5724.75830  19.917   0.070
5739.67442  19.864   0.032
5744.68761  19.893   0.036
5748.64378  19.898   0.033
5766.55017  19.906   0.034
5770.69230  19.859   0.042
5787.50759  19.856   0.077
5793.50568  19.874   0.045
5801.49085  19.799   0.042
5804.48891  19.861   0.035
5815.57936  19.832   0.058
5820.53413  19.819   0.042
5834.49840  19.834   0.035
5985.88444  19.828   0.050
5996.86083  19.778   0.055
6006.85178  19.857   0.034
6011.86002  19.882   0.042
6017.85441  19.877   0.031
6022.83757  19.897   0.057
6032.75885  19.915   0.041
6036.78324  19.867   0.036
6040.85160  19.882   0.036
6049.79349  19.876   0.033
6059.79796  19.794   0.039
6064.78509  19.881   0.027
6076.71108  19.876   0.031
6086.70422  19.780   0.053
6093.71301  19.859   0.037
6100.65841  19.889   0.030
6104.60606  19.869   0.032
6116.63277  19.856   0.037
6121.58791  19.939   0.027
6126.63377  19.869   0.039
6134.64734  19.884   0.055
6141.61564  19.905   0.126
6154.56377  19.814   0.042
6161.57869  19.790   0.049
6169.51977  19.850   0.109
6181.50795  19.800   0.034
6196.50504  19.916   0.072
6371.81930  19.829   0.028
6372.79876  19.874   0.030
6388.84430  19.784   0.033
6391.75071  19.878   0.043
6396.73164  19.798   0.027
6400.77827  19.843   0.030
6404.87777  19.919   0.031
6422.81851  19.796   0.041
6431.70420  19.907   0.040
6435.72544  19.898   0.054
6444.74705  19.944   0.037
6448.72191  19.875   0.032
6452.76842  19.863   0.024
6459.67245  19.895   0.028
6468.76197  19.841   0.071
6474.70759  19.904   0.034
6478.62150  19.905   0.032
6486.63671  19.808   0.030
6499.59947  19.742   0.037
6507.69346  19.855   0.050
6511.53214  19.792   0.035
6518.50421  19.839   0.037
6534.55498  19.837   0.031
6558.60450  19.993   0.057
6752.86907  19.968   0.034
6760.77326  19.902   0.049
6771.78155  19.881   0.032
6776.89982  19.822   0.033
6804.69120  19.826   0.027
6808.74232  19.855   0.028
6813.79222  19.883   0.034
6817.84550  19.863   0.035
6829.63304  19.784   0.039
6833.67280  19.883   0.032
6839.66586  19.842   0.033
6844.63555  19.826   0.030
6857.60282  19.899   0.030
6864.57473  19.876   0.034
6870.62355  19.874   0.034
6887.50361  19.897   0.031
6891.49369  19.898   0.040
6912.50715  19.844   0.036
7112.80997  19.867   0.041
7117.85358  19.715   0.042
7132.78010  19.815   0.030
7137.82225  19.714   0.030
7142.81209  19.718   0.031
7156.78607  19.589   0.020
7160.76144  19.595   0.023
7164.82269  19.487   0.023
7172.74701  19.370   0.031
7183.68298  18.929   0.020
7188.71787  18.546   0.013
7197.72920  17.018   0.005
7217.61129  18.952   0.019
7223.64304  19.240   0.021
7228.58294  19.370   0.028
7253.54194  19.698   0.028
7265.48647  19.757   0.029
7278.57123  19.854   0.036
7457.86408  19.843   0.033
7547.74016  19.950   0.035
7554.69666  19.846   0.040
7569.66669  19.840   0.032
7581.73431  19.864   0.034
7600.57157  19.793   0.040
7607.51600  19.867   0.036
7622.60516  19.857   0.037
7626.60449  19.892   0.038
7637.50165  19.871   0.043
7656.54584  19.810   0.041
7873.85809  19.880   0.030
7905.73869  19.818   0.027
7935.62182  19.893   0.038
7981.57701  19.840   0.033
8233.92686  19.912   0.040
8259.66776  19.812   0.029
8289.78680  19.880   0.031
8308.68405  19.900   0.038
8334.60309  19.821   0.032
8359.59256  19.921   0.053
8375.54454  19.931   0.046
8602.81974  19.928   0.034
8615.89298  19.899   0.035
8644.70398  19.970   0.033
8684.71774  19.858   0.050
8723.57796  19.859   0.030
